도로명주소,위도,경도,구분,이름
지수면 용봉로249번길 35-31,35.2353112687,128.2476138339,1,길상사
지수면 청원길 95-133,35.2368945631,128.2919185275,1,성불암
지수면 방어산로 14-25,35.2487147992,128.2773947938,1,약련암
지수면 지수로517번길 26,35.2397972234,128.2719132026,1,천관사
지수면 청원길 233,35.2240233041,128.2960677342,1,천호사
지수면 청원길57번길 4,35.2289333413,128.2814759448,1,청암사
지수면 지사로754번길 143,35.2230014968,128.2616253769,1,호인사
지수면 청담길175번길 34-16,35.2482036738,128.2565310545,1,지수암
대곡면 진의로 863-42,35.2477736333,128.1830599364,1,공용사
대곡면 마진한실로 539-39,35.2344985843,128.2311565711,1,기원정사
대곡면 진의로1080번길 21,35.2648215994,128.1709174372,1,대곡사
대곡면 월암로23번길 46,35.2822454828,128.1626030597,1,도광사
대곡면 남강로2366번길 64-10,35.25468883,128.1560449541,1,도명정사
대곡면 소실길197번길 12,35.2501520063,128.1686769068,1,도솔암
대곡면 오방로 194-24,35.2640770792,128.136157099,1,불동암
대곡면 대화로 92-1,35.2597077088,128.1870132578,1,비룡사
대곡면 월암로 332-21,35.3078973576,128.1673281565,1,삼보사
대곡면 진의로1056번길 39,35.264013566,128.1718705324,1,수도암
대곡면 월암로 93-11,35.2871330752,128.1646309608,1,정진암
대곡면 월암로85번길 34,35.2862376054,128.1625563699,1,유심사
금산면 금산순환로22번길 14,35.2155242202,128.1479961336,1,대명암
금산면 금산순환로80번길 62,35.2200739329,128.1567627423,1,반야정사
금산면 금산순환로519번길 290,35.2142107279,128.1854534753,1,보궁사
금산면 월아산로1440번길 209,35.1940195109,128.1830971091,1,성은암
금산면 달음산로53번길 19,35.2010985054,128.1729723415,1,월아정사
집현면 한치골길44번길 9-4,35.2274356145,128.0621967432,1,도리사
집현면 진주성로452번길 8-5,35.2247271903,128.0676701482,1,법문암
집현면 진산로1497번길 65-10,35.2977324824,128.0776872132,1,보림사
집현면 지내길101번길 61,35.2530970717,128.0776344556,1,월곡사
집현면 응석로 234-13,35.2804461183,128.0685690063,1,해룡사
미천면 안간길 292,35.3146055769,128.0638702018,1,성불사
미천면 오방로199번길 32-9,35.2669212943,128.1303904457,1,관음사
미천면 널방재길195번길 48-18,35.3017499155,128.1491696413,1,한보사
미천면 향양로529번길 16-104,35.2784096544,128.0996734406,1,성원사
미천면 진산로1623번길 21-199,35.3065330859,128.0592033947,1,월명암
미천면 오방로 528-40,35.2858759811,128.1352621469,1,한마음선원 진주지원
미천면 오방로487번길 18-41,35.2868761027,128.1264645067,1,보각사
미천면 향양로365번길 41-10,35.2659370057,128.1129307271,1,화개사
미천면 어옥로 232-72,35.3128545981,128.1473992898,1,여여암
미천면 오방로 895,35.3123742503,128.1098744424,1,만복사
명석면 관덕길 47-25,35.2478517959,128.0351420957,1,백운정사
명석면 광제산로 354,35.2455597562,128.0427893263,1,극락선원
명석면 광제산로 133-21,35.2289981333,128.0421725776,1,불곡암
명석면 나불로 186-72,35.2177042612,128.0478990776,1,무위사
명석면 남성로 563,35.2781715007,128.0470631096,1,석불사
명석면 남성로689번길 190,35.295233514,128.0501448369,1,장흥사
명석면 남성로445번길 14-1,35.2675932095,128.0492586412,1,대원암
명석면 남성로 595-4,35.2806680015,128.0480501777,1,대명사
명석면 광제산로635번길 35-9,35.2698916797,128.0398123338,1,광흥사
명석면 광제산로 596,35.2657638789,128.0448611804,1,마하연
명석면 광제산로635번길 11-13,35.2686029699,128.0421005254,1,석지암
명석면 광제산로 1100-23,35.3030330353,128.0251301013,1,보현사
명석면 광제산로1032번길 90,35.3011876852,128.0342285744,1,성중사
명석면 광제산로833번길 24-3,35.2818526924,128.0309934941,1,대덕암
명석면 외율길10번길 60-104,35.2731397753,128.001502791,1,광덕사
명석면 외율길54번길 162-10,35.2697333943,128.009324495,1,문수암
명석면 외율길54번길 102-59,35.2726653865,128.0093153675,1,축원암
명석면 외율길54번길 102-68,35.2740546636,128.0062837222,1,수덕사
명석면 팔미길 74-19,35.2578063232,128.0027477577,1,소원사
명석면 진주대로 2477-17,35.2726212339,127.9860799222,1,성양사 (성양원)
명석면 진주대로 2207-44,35.2498907588,127.9905564721,1,백운사
명석면 오미길341번길 56,35.268170086,127.9910320305,1,무량사
명석면 가화로 664-19,35.2368293675,127.9973929887,1,성불사
명석면 진주대로2311번길 157-5,35.2489665083,127.9851755859,1,삼불암
명석면 진주대로 1947-60,35.2289303099,128.006175132,1,복천사
명석면 진주대로1706번길 34-20,35.2209649037,128.0348649126,1,용산사
명석면 판문로495번길 34,35.208759935,128.026701947,1,정토사
명석면 광제산로685번길 77-29,35.2732795571,128.0323504081,1,대흥사
명석면 광제산로864번길 12-11,35.285490485,128.0351726196,1,약사암
명석면 진주대로 1764-31,35.2252849039,128.0291697946,1,영광사
대평면 호반로 975-82,35.1971861322,127.958735825,1,명성암
대평면 한들길 2-26,35.2309806977,127.9629610226,1,원광사
대평면 원당길158번길 68,35.1680243371,127.9721898087,1,정심선원
수곡면 중전길268번길 8-29,35.1991266604,127.9510663676,1,법연사
수곡면 사곡로681번길 51-9,35.2486586691,127.9279074997,1,선암사
수곡면 덕천로 308-6,35.1998894129,127.8977667076,1,성암사
수곡면 사곡로523번길 114,35.2476237176,127.9231912751,1,수안사
수곡면 사곡로366번길 27,35.2282244986,127.917464968,1,용수암
수곡면 사곡로 234-8,35.2186251555,127.9167893161,1,원효사
수곡면 시묘산길 324-5,35.2113022503,127.9014028978,1,월계암
수곡면 덕천로576번길 31,35.2205453995,127.8980319175,1,증봉사
수곡면 곤수로514번길 107,35.1676388205,127.9632122663,1,한산사
수곡면 사곡로90번길 13-9,35.2134506486,127.9271075604,1,대덕사
수곡면 곤수로1407번길 36-20,35.2367412655,127.9308478134,1,마니굴
봉수대길 64,35.1800761343,128.0776738297,1,정법사
망경로224번길 45,35.1810713331,128.0803264939,1,월경사
천수로137번길 38,35.1748199149,128.083523064,1,금선암
주약약골길8번길 36,35.1743967928,128.0885143971,1,보덕암
천수로155번길 16-1,35.1784342248,128.08379541,1,용화암
강남로247번길 9,35.1876636571,128.0904202481,1,진주보천 심인당
강남로 181-4,35.1842498973,128.0943863373,1,여래사
진주대로966번길 6,35.1861758834,128.0883459505,1,정토회
천수로237번길 14,35.1837250134,128.0782558743,1,법장사
강남로301번길 8,35.1869407278,128.0843873559,1,불교 총지종 화음사
진주대로941번길 25-6,35.1832023834,128.0864608719,1,불심사 포교원
진주대로941번길 19,35.1834420065,128.0865549609,1,진주도림사
진주대로 932,35.1834328605,128.0891183606,1,문수선원
봉래길49번길 9,35.2011438072,128.086605232,1,봉광사
진산로46번길 21,35.1957463575,128.0972418932,1,도명암
향교로93번길 25,35.1989222712,128.0918068722,1,법성사
옥봉길15번길 11,35.1972624486,128.0888231159,1,보각사
남강로 751-14,35.1905730235,128.094449828,1,송원사
향교로42번길 13,35.1980539658,128.0875297836,1,연화사
향교로109번길 62,35.1992632539,128.0972583385,1,옥수암
진주성로188번길 29,35.2078424429,128.0714759765,1,여래사(원)
창렬로187번길 11-20,35.2015059275,128.0773082388,1,비봉사
창렬로187번길 14-5,35.2012986261,128.0780780978,1,청계암
창렬로 209,35.2010425694,128.079736626,1,봉황사
창렬로 205-15,35.2010185204,128.0787034738,1,법혜사
